year,return_jan1_15,return_jan16_ye,jan1_15_gt_1pct
1951,0.04258438173710455,0.10764219346879722,True
1952,0.01220021045830455,0.10294726137516896,True
1953,-0.01656005039937314,-0.046502727537818256,False
1954,0.024989957782324712,0.4148642984842317,True
1955,-0.01945527437035499,0.3152110218048878,False
1956,-0.017810056759978266,0.057317598873601217,False
1957,-0.03192624645871511,-0.11585226435557128,False
1958,0.02500625051332439,0.3446175654632595,True
1959,0.011229899599045634,0.07310514094181664,True
1960,-0.025212862530003544,0.003800332061196565,False
1961,0.02564098860986941,0.20090635872495133,True
1962,-0.02907060436531439,-0.08643407046591445,False
1963,0.0318542343080217,0.16004327767386872,True
1964,0.02159427911320444,0.10711948558248796,True
1965,0.01722712784038527,0.06867848986147918,True
1966,0.011576324692106565,-0.14332937286081804,True
1967,0.05228428796846507,0.14422967636380757,True
1968,-0.0005183274709762431,0.08390733605858736,False
1969,-0.021567474009298815,-0.09904093478525267,False
1970,-0.00412771305122106,0.013528413789098526,False
1971,0.009549617350476547,0.0929235877902248,False
1972,0.012733892627982302,0.13838000507056747,True
1973,0.0033036796236036725,-0.17428471681281177,False
1974,-0.03403382461262139,-0.2833699292277351,False
1975,0.052217064739465524,0.25176958530615723,True
1976,0.07118303575960327,0.10783504210796546,True
1977,-0.032104941165411516,-0.08319680520125661,False
1978,-0.05688744605171603,0.07469529556502952,False
1979,0.04765374884995466,0.08526044072985961,True
1980,0.0296460707417463,0.22251229874853218,True
1981,-0.011343498441695021,-0.09067300462496308,False
1982,-0.05075480265860266,0.19979523908082775,False
1983,0.0427331806948108,0.12411389928824912,True
1984,0.012672113560255882,0.0003589712885034846,True
1985,0.021346519661383345,0.234184215001763,True
1986,-0.014293848399798859,0.15776641147812276,False
1987,0.0962959583835854,-0.07210454046965764,True
1988,0.02011494732018604,0.10258851769481558,True
1989,0.0221445840035015,0.2437529938672709,True
1990,-0.046406321957346064,-0.030902417547459593,False
1991,-0.04993637627465786,0.31919530197073254,False
1992,0.00882301831281529,0.0418450069523979,False
1993,0.0033049562085947226,0.0677822912676651,False
1994,0.018136973381240207,-0.02964293078628566,True
1995,0.014588395426011092,0.3122203465602611,True
1996,-0.026155546154808862,0.21744130442131704,False
1997,0.03572106585508372,0.26070801257003096,True
1998,-0.020300291989855057,0.2784370084388239,False
1999,0.01141367320989417,0.1735223642172523,True
2000,-0.0027905227741620298,-0.09267835671754565,False
2001,-0.0013103132898794057,-0.13460224254565067,False
2002,-0.0016462395658682905,-0.21972023977777333,False
2003,0.04364524909554102,0.21574466829934247,True
2004,0.01810382409457012,0.0632463531140659,True
2005,-0.022608772378137965,0.04373823930836007,False
2006,0.03149904674284909,0.10551627091876381,True
2007,0.008763964755479803,0.02546264425997169,False
2008,-0.05952902220960432,-0.3422298047497194,False
2009,-0.0658843174820094,0.311697150979519,False
2010,0.018769665652570433,0.09338135503642064,True
2011,0.028306967948923845,-0.028895340134477032,True
2012,0.025039750990535126,0.10243716941670145,True
2013,0.03235896080472833,0.2551421465153765,True
2014,1.08309698374498e-05,0.11539684705206099,False
2015,-0.032167595094372836,0.012142049166271152,False
2016,-0.0800463761371566,0.19002521111183568,False
2017,0.01599487821921497,0.17889766878520263,True
2018,0.04212651743791751,-0.09709259831153405,True
2019,0.04126690753012885,0.23496040239106808,True
2020,0.018110180586438318,0.13243447831072386,True
2021,0.0032427328082154094,0.25461784723786485,False
2022,-0.021679851435340014,-0.16115188084047216,False
2023,0.041565330873974515,0.19515559203384747,True
2024,0.0029351150398848613,0.2340861495255424,False
2025,0.011609073470778997,0.1529574152987021,True
2026,0.014457704308487251,-0.004394806495960801,True
